harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
0,1,0,0,1,0,0,0,177,8,0,0,21,16,0,0,0,0,69,2,0,6,1,5,4,73
2,1,2,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,6,1,6,3,1,5,0,85
6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,37,98,0,25
25,0,24,11,0,0,0,0,52,0,24,0,3,0,8,0,0,0,2,0,12,0,204,8,0,0
0,1,0,0,0,0,0,0,0,2,3,11,2,0,14,0,0,0,11,0,219,5,22,8,2,64
6,0,0,0,0,0,0,0,42,0,0,0,11,6,21,0,0,0,0,0,8,0,11,5,0,49
0,14,0,0,0,8,0,0,114,2,0,6,0,0,0,0,0,0,5,3,106,307,6,0,0,232
2,0,20,6,0,2,0,0,56,9,0,0,8,2,7,0,0,0,2,0,51,57,16,6,7,23
0,0,3,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,1,5,0,5,4,1,20
11,0,3,0,14,1,2,0,64,36,0,1,0,4,16,2,0,0,8,0,10,3,4,8,0,65
7,10,0,4,1,6,0,0,23,19,0,5,0,4,4,0,0,0,48,22,485,58,61,51,0,99
16,8,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,97,0,47,16,39,11,0,136
4,0,1,1,0,0,0,0,20,1,0,0,0,0,9,1,0,0,7,0,2,16,104,1,2,41
4,27,0,0,0,0,0,0,137,0,4,4,0,0,0,0,0,0,9,4,102,44,54,4,0,279
33,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,100,0,100,27,39,2,0,856
0,0,0,0,6,0,0,0,14,0,0,0,61,3,1,0,0,0,154,2,14,34,13,2,2,54
0,34,0,0,0,0,0,0,2,19,0,2,0,41,0,3,0,0,3,0,63,7,2,0,0,350
0,3,0,0,54,0,0,0,146,0,72,0,0,0,0,0,0,0,88,0,11,18,52,41,0,0
4,14,0,2,2,0,0,0,141,11,0,0,4,2,8,0,0,0,3,0,16,381,7,18,1,24
7,4,5,0,2,0,0,0,22,44,3,104,0,0,0,0,0,0,81,2,7,104,29,7,0,162
2,7,0,0,64,0,0,0,74,15,8,1,1,5,12,5,0,0,80,43,55,20,23,93,2,26
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,34,40,57,6,0,77
8,0,1,0,0,0,0,0,40,0,1,0,0,0,1,0,0,0,4,0,105,6,185,0,0,27
0,0,0,0,0,0,0,0,61,28,0,0,0,0,0,0,0,0,0,0,7,0,43,6,9,1
4,0,0,0,4,0,0,0,5,2,0,0,4,0,3,0,0,0,0,1,1,3,5,1,1,0
1,0,0,0,0,3,6,0,12,17,0,0,0,6,11,0,0,0,25,0,4,24,18,4,3,20
36,0,2,0,3,0,0,0,16,0,0,0,2,0,4,0,0,0,0,2,13,1,1,13,1,20
0,1,0,0,0,0,0,0,16,6,0,0,0,0,6,0,0,0,7,0,114,56,77,49,0,32
7,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,7,0,0,8,0,125
27,0,14,0,2,0,0,0,221,36,1,0,61,11,13,0,0,0,2,1,523,2,25,72,0,0
10,0,0,3,49,5,0,0,39,2,1,0,0,0,10,1,0,0,2,0,7,36,46,16,1,92
14,5,0,0,6,0,0,0,248,18,6,4,11,4,27,0,0,0,43,6,23,37,85,7,4,21
0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,32,2,8,0,0
124,0,0,0,0,0,0,0,322,0,76,0,0,0,0,0,0,0,3,0,13,221,2,4,0,12
1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,66,34,37,4,1,0
1,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,3,0,4,0,14,0,0,319
14,2,0,0,6,0,0,0,306,7,1,0,2,0,2,0,0,0,0,0,83,11,8,53,2,22
0,0,0,0,2,0,0,0,64,7,11,6,18,0,0,0,0,0,5,0,5,0,6,22,24,21
6,0,0,0,1,0,0,0,1556,57,2,0,14,0,8,0,0,0,0,0,8,24,19,6,0,58
0,0,0,0,0,0,0,0,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414
4,0,10,0,3,0,0,0,31,0,3,0,9,0,0,0,0,0,0,0,4,0,1,3,0,29
21,2,0,0,8,0,0,0,106,34,4,1,0,0,0,0,0,0,3,5,65,68,7,8,0,228
